product_url,product_id,product_name,product_price,product_old_price,product_discount,product_brand,product_category,product_image,image_width,image_height,shipping_type,rating_percent,num_of_ratings
https://www.jumia.com.ng/galaxy-note-8-dual-sim-64gb-rom6gb-ram-6.3-inch-dual-12mp8mp-android-7.1-nougat-midnight-black-samsung-mpg115197.html,SA948EL0SE6DZNAFAMZ,"Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM) Android 7.1 Nougat, (12MP + 12MP) + 8MP Dual SIM 4G LTE Smartphone Midnight Black",178000,,,Samsung,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/690711/1.jpg?3511,208,208,,86%,4.3 out of 5(47)
https://www.jumia.com.ng/stylus-pen-for-galaxy-note-8-black-generic-mpg281613.html,GE779EL1AN4YCNAFAMZ,Stylus Pen For  Galaxy Note 8-Black,13000,,,Generic,Phones & Tablets/Accessories/Styluses,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/341844/1.jpg?6292,208,208,,96%,4.8 out of 5(4)
https://www.jumia.com.ng/otter-box-otter-box-layers-armour-defender-series-rugged-protection-case-for-samsung-galaxy-note8-black-21803459.html,GE779EL1KTEVWNAFAMZ,Otter Box Layers Armour Defender Series Rugged Protection Case For Samsung Galaxy Note8 - Black,9000,,,Otter Box,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/430812/1.jpg?2009,208,208,,100%,5 out of 5(3)
https://www.jumia.com.ng/supcase-samsung-galaxy-note-8-case-full-body-rugged-holster-clip-case-with-screen-protector-unicorn-beetle-shield-series-blue-21902028.html,SU295MT1CTZQONAFAMZ,Samsung Galaxy Note 8 Case Full-Body Rugged Holster Clip Case With Screen Protector Unicorn Beetle Shield Series (Blue),9999,,,Supcase,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/020912/1.jpg?3857,208,208,Shipped from abroad,100%,5 out of 5(3)
https://www.jumia.com.ng/samsung-galaxy-note-8-silicone-back-cover-case-cute-shockproof-42285997.html,SA948EL1BLS5SNAFAMZ,Galaxy Note 8 Silicone Back Cover Case Cute Shockproof,3000,6000,50%,Samsung,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/958224/1.jpg?4172,208,208,,94%,4.7 out of 5(3)
https://www.jumia.com.ng/generic-samsung-car-charger-fast-galaxy-usb-c-cable-s9-s8-plus-note-9-8-quick-adapter-9v1.67a-adaptive-ljmall-22322833.html,GE779MT0K4XGYNAFAMZ,Samsung Car Charger Fast Galaxy USB C Cable S9 S8 Plus Note 9 8 Quick Adapter 9V1.67A Adaptive   LJMALL,10072,25180,60%,Generic,Phones & Tablets/Accessories/Chargers & Power Adapters,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/822322/1.jpg?0130,208,208,Shipped from abroad,100%,5 out of 5(2)
https://www.jumia.com.ng/samsung-galaxy-note-8-case-nillkin-englon-series-premium-leather-slim-case-back-cover-for-samsung-galaxy-note-8-brown-universal-mpg165791.html,UN970EL0M9WFXNAFAMZ,"Samsung Galaxy Note 8 Case, Nillkin [Englon Series] Premium Leather Slim Case Back Cover For Samsung Galaxy Note 8 - Brown",11500,,,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/413501/1.jpg?9462,208,208,,100%,5 out of 5(2)
https://www.jumia.com.ng/samsung-galaxy-note-8-clear-view-cover-9d10d-glass-screen-43014438.html,SA948EL1DOFIINAFAMZ,Galaxy Note 8 Clear View Cover +9D/10D Glass SCREEN,4490,,,Samsung,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/441034/1.jpg?6649,208,208,,100%,5 out of 5(2)
https://www.jumia.com.ng/sunsky-for-samsung-galaxy-note-8-n9500-touch-stylus-s-penblue-11531187.html,SU104EL1AI8RRNAFAMZ,For Samsung Galaxy Note 8 / N9500 Touch Stylus S Pen(Blue),3020,4314,30%,Sunsky,Phones & Tablets/Accessories/Styluses,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/113511/1.jpg?1197,208,208,Shipped from abroad,100%,5 out of 5(2)
https://www.jumia.com.ng/samsung-galaxy-note-8-screen-protector-full-coverage-3d-curved-universal-mpg179423.html,GE779EL1EQYVQNAFAMZ,Samsung Galaxy Note 8 Screen Protector Full Coverage 3D Curved,3000,,,Generic,Phones & Tablets/Accessories/Screen Protectors,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/239062/1.jpg?2757,208,208,,84%,4.2 out of 5(5)
https://www.jumia.com.ng/generic-holder-stand-case-for-samsung-galaxy-s10-plus-s10e-note-8-9-s9-s8-plus-s10-hard-pc-soft-tpu-shockproof-back-coverblack-bdz-42882847.html,GE779EA18JUAGNAFAMZ,Holder Stand Case For Samsung Galaxy S10 Plus S10e Note 8 9 S9 S8 Plus S10 Hard PC + Soft TPU Shockproof Back Cover(Black) BDZ,4104,7074,42%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/828824/1.jpg?0300,208,208,Shipped from abroad,80%,4 out of 5(7)
https://www.jumia.com.ng/generic-smart-mirror-flip-phone-case-for-samsung-galaxy-s9-s10-s8-s7-s6-edge-plus-s10e-clear-view-cover-for-samsung-note-9-8-5-4-3-casepurple-blue-bdz-42909034.html,GE779EA0PNL64NAFAMZ,Smart Mirror Flip Phone Case For Samsung Galaxy S9 S10 S8 S7 S6 Edge Plus S10E Clear View Cover For Samsung Note 9 8 5 4 3 Case(Purple Blue) BDZ,4499,7755,42%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/090924/1.jpg?9153,208,208,Shipped from abroad,86%,4.3 out of 5(3)
https://www.jumia.com.ng/generic-for-samsung-galaxy-note-8-case-360-degree-full-cover-soft-clear-case-shockproof-transparent-silicone-phone-casing-452639-color-0-19975919.html,GE779MT1IQZ8NNAFAMZ,"For Samsung Galaxy Note 8 Case, 360 Degree Full Cover Soft Clear Case Shockproof Transparent Silicone Phone Casing 452639 Color-0",3290,4082,19%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/957991/1.jpg?7285,208,208,Shipped from abroad,86%,4.3 out of 5(3)
https://www.jumia.com.ng/samsung-samsung-dual-usb-adaptive-fast-car-charger-quick-charge-usb-type-c-data-cable-for-galaxy-note-789-s8-s9-plus-a8-2018-car-35345653.html,SA948OT0L872PNAFAMZ,Samsung Dual USB Adaptive Fast Car Charger Quick Charge USB Type C Data Cable For Galaxy Note 7/8/9 S8 S9 Plus A8 2018 CAR,3795,10513,64%,Samsung,Automobile/Motorcycle & Powersports/Accessories/Battery Chargers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/654353/1.jpg?5604,208,208,Shipped from abroad,86%,4.3 out of 5(3)
https://www.jumia.com.ng/generic-samsung-galaxy-note8-casenote-8basic-series-thin-fit-shell-premium-hard-plastic-matte-finish-non-slip-full-protective-anti-scratch-cover-cases-for-samsung-note82017-midnight-black-14093088.html,GE779EL1GEZCXNAFAMZ,"Samsung Galaxy Note8 Case,Note 8[Basic Series] Thin Fit Shell Premium Hard Plastic Matte Finish Non Slip Full Protective Anti-Scratch Cover Cases For Samsung Note8(2017) - Midnight Black",2599,3999,35%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/039041/1.jpg?6532,208,208,Shipped from abroad,90%,4.5 out of 5(2)
https://www.jumia.com.ng/generic-usb-type-c-cable-nylon-braided-fast-charging-sync-cord-compatible-samsung-galaxy-note-9-8-s9-s8-pluslg-v20-g5-g6google-pixel-2-xlnexus-5x-6pnintendo-switch-25041054.html,GE779MT0QST2CNAFAMZ,"USB Type C Cable Nylon Braided Fast Charging Sync Cord Compatible Samsung Galaxy Note 9 8 S9 S8 Plus,LG V20 G5 G6,Google Pixel 2 Xl,Nexus 5X 6P,Nintendo Switch",3000,,,Generic,Phones & Tablets/Accessories/Data & Connectivity/Data Cables,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/014052/1.jpg?2369,208,208,,90%,4.5 out of 5(2)
https://www.jumia.com.ng/micro-quick-super-fast-charger-dell-mpg97940.html,DE168EL1HDPOENAFAMZ,Dell Micro Quick & Super Fast Charger For Galaxy Note 8/ Galaxy 8 Plus/ Infinix Zero 5,3500,,,DELL,Phones & Tablets/Accessories/Chargers & Power Adapters,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/659454/1.jpg?6887,208,208,,90%,4.5 out of 5(2)
https://www.jumia.com.ng/galaxy-note-8-casemagnetic-adsorption-case-metal-bumper-case-generic-mpg296139.html,GE779MT0F4UKTNAFAMZ,"Galaxy Note 8 Case,Magnetic Adsorption Case Metal Bumper Case",4214,8000,47%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/420493/1.jpg?0138,208,208,,90%,4.5 out of 5(2)
